Afghanistan ;31056997;647500;48.0;0.0;23.1;163.1;700;36.0;3.2;12.1;0.2;87.7;1.0;46.6;20.3;0.4;0.2;0.4
Albania ;3581655;28748;124.6;1.3;-4.9;21.5;4500;86.5;71.2;21.1;4.4;74.5;3.0;15.1;5.2;0.2;0.2;0.6
Algeria ;32930091;2381740;13.8;0.0;-0.4;31.0;6000;70.0;78.1;3.2;0.3;96.5;1.0;17.1;4.6;0.1;0.6;0.3
American Samoa ;57794;199;290.4;58.3;-20.7;9.3;8000;97.0;259.5;10.0;15.0;75.0;2.0;22.5;3.3;0.0;0.0;0.0
Andorra ;71201;468;152.1;0.0;6.6;4.1;19000;100.0;497.2;2.2;0.0;97.8;3.0;8.7;6.3;0.0;0.0;0.0
Angola ;12127071;1246700;9.7;0.1;0.0;191.2;1900;42.0;7.8;2.4;0.2;97.3;0.0;45.1;24.2;0.1;0.7;0.2
Anguilla ;13477;102;132.1;59.8;10.8;21.0;8600;95.0;460.0;0.0;0.0;100.0;2.0;14.2;5.3;0.0;0.2;0.8
Antigua & Barbuda ;69108;443;156.0;34.5;-6.2;19.5;11000;89.0;549.9;18.2;4.6;77.3;2.0;16.9;5.4;0.0;0.2;0.7
Argentina ;39921833;2766890;14.4;0.2;0.6;15.2;11200;97.1;220.4;12.3;0.5;87.2;3.0;16.7;7.6;0.1;0.4;0.5
Armenia ;2976372;29800;99.9;0.0;-6.5;23.3;3500;98.6;195.7;17.5;2.3;80.2;4.0;12.1;8.2;0.2;0.3;0.4
Aruba ;71891;193;372.5;35.5;0.0;5.9;28000;97.0;516.1;10.5;0.0;89.5;2.0;11.0;6.7;0.0;0.3;0.7
Australia ;20264082;7686850;2.6;0.3;4.0;4.7;29000;100.0;565.5;6.6;0.0;93.4;1.0;12.1;7.5;0.0;0.3;0.7
Austria ;8192880;83870;97.7;0.0;2.0;4.7;30000;98.0;452.2;16.9;0.9;82.2;3.0;8.7;9.8;0.0;0.3;0.7
Azerbaijan ;7961619;86600;91.9;0.0;-4.9;81.7;3400;97.0;137.1;19.6;2.7;77.7;1.0;20.7;9.8;0.1;0.5;0.4
Bahamas. The ;303770;13940;21.8;25.4;-2.2;25.2;16700;95.6;460.6;0.8;0.4;98.8;2.0;17.6;9.1;0.0;0.1;0.9
Bahrain ;698585;665;1050.5;24.2;1.0;17.3;16900;89.1;281.3;2.8;5.6;91.6;1.0;17.8;4.1;0.0;0.4;0.6
Bangladesh ;147365352;144000;1023.4;0.4;-0.7;62.6;1900;43.1;7.3;62.1;3.1;34.8;2.0;29.8;8.3;0.2;0.2;0.6
Barbados ;279912;431;649.5;22.5;-0.3;12.5;15700;97.4;481.9;37.2;2.3;60.5;2.0;12.7;8.7;0.1;0.2;0.8
Belarus ;10293011;207600;49.6;0.0;2.5;13.4;6100;99.6;319.1;29.5;0.6;69.8;4.0;11.2;14.0;0.1;0.3;0.6
Belgium ;10379067;30528;340.0;0.2;1.2;4.7;29100;98.0;462.6;23.3;0.4;76.3;3.0;10.4;10.3;0.0;0.2;0.7
Belize ;287730;22966;12.5;1.7;0.0;25.7;4900;94.1;115.7;2.8;1.7;95.4;2.0;28.8;5.7;0.1;0.2;0.6
Benin ;7862944;112620;69.8;0.1;0.0;85.0;1100;40.9;9.7;18.1;2.4;79.5;2.0;38.8;12.2;0.3;0.1;0.5
Bermuda ;65773;53;1241.0;194.3;2.5;8.5;36000;98.0;851.4;20.0;0.0;80.0;2.0;11.4;7.7;0.0;0.1;0.9
Bhutan ;2279723;47000;48.5;0.0;0.0;100.4;1300;42.2;14.3;3.1;0.4;96.5;2.0;33.7;12.7;0.3;0.4;0.4
Bolivia ;8989046;1098580;8.2;0.0;-1.3;53.1;2400;87.2;71.9;2.7;0.2;97.1;1.5;23.3;7.5;0.1;0.4;0.5
Bosnia & Herzegovina ;4498976;51129;88.0;0.0;0.3;21.0;6100;0.0;215.4;13.6;3.0;83.4;4.0;8.8;8.3;0.1;0.3;0.6
Botswana ;1639833;600370;2.7;0.0;0.0;54.6;9000;79.8;80.5;0.6;0.0;99.3;1.0;23.1;29.5;0.0;0.5;0.5
Brazil ;188078227;8511965;22.1;0.1;-0.0;29.6;7600;86.4;225.3;7.0;0.9;92.2;2.0;16.6;6.2;0.1;0.4;0.5
British Virgin Is. ;23098;153;151.0;52.3;10.0;18.0;16000;97.8;506.5;20.0;6.7;73.3;2.0;14.9;4.4;0.0;0.1;0.9
Brunei ;379444;5770;65.8;2.8;3.6;12.6;18600;93.9;237.2;0.6;0.8;98.7;2.0;18.8;3.5;0.0;0.6;0.4
Bulgaria ;7385367;110910;66.6;0.3;-4.6;20.5;7600;98.6;336.3;40.0;1.9;58.1;3.0;9.6;14.3;0.1;0.3;0.6
Burkina Faso ;13902972;274200;50.7;0.0;0.0;97.6;1100;26.6;7.0;14.4;0.2;85.4;2.0;45.6;15.6;0.3;0.2;0.5
Burma ;47382633;678500;69.8;0.3;-1.8;67.2;1800;85.3;10.1;15.2;1.0;83.8;2.0;17.9;9.8;0.6;0.1;0.4
Burundi ;8090068;27830;290.7;0.0;-0.1;69.3;600;51.6;3.4;35.0;14.0;50.9;2.0;42.2;13.5;0.5;0.2;0.3
Cambodia ;13881427;181040;76.7;0.2;0.0;71.5;1900;69.4;2.6;21.0;0.6;78.4;2.0;26.9;9.1;0.3;0.3;0.3
Cameroon ;17340702;475440;36.5;0.1;0.0;68.3;1800;79.0;5.7;12.8;2.6;84.6;1.5;33.9;13.5;0.4;0.2;0.4
Canada ;33098932;9984670;3.3;2.0;6.0;4.8;29800;97.0;552.2;5.0;0.0;95.0;0.0;10.8;7.8;0.0;0.3;0.7
Cape Verde ;420979;4033;104.4;23.9;-12.1;47.8;1400;76.6;169.6;9.7;0.5;89.8;3.0;24.9;6.6;0.1;0.2;0.7
Cayman Islands ;45436;262;173.4;61.1;18.8;8.2;35000;98.0;836.3;3.8;0.0;96.2;2.0;12.7;4.9;0.0;0.0;1.0
Central African Rep. ;4303356;622984;6.9;0.0;0.0;91.0;1100;51.0;2.3;3.1;0.1;96.8;2.0;33.9;18.6;0.6;0.2;0.3
Chad ;9944201;1284000;7.7;0.0;-0.1;93.8;1200;47.5;1.3;2.9;0.0;97.1;2.0;45.7;16.4;0.3;0.3;0.4
Chile ;16134219;756950;21.3;0.9;0.0;8.8;9900;96.2;213.0;2.7;0.4;96.9;3.0;15.2;5.8;0.1;0.5;0.4
China ;1313973713;9596960;136.9;0.2;-0.4;24.2;5000;90.9;266.7;15.4;1.3;83.3;1.5;13.3;7.0;0.1;0.5;0.4
Colombia ;43593035;1138910;38.3;0.3;-0.3;21.0;6300;92.5;176.2;2.4;1.7;95.9;2.0;20.5;5.6;0.1;0.3;0.5
Comoros ;690948;2170;318.4;15.7;0.0;74.9;700;56.5;24.5;35.9;23.3;40.8;2.0;36.9;8.2;0.4;0.0;0.6
Congo. Dem. Rep. ;62660551;2345410;26.7;0.0;0.0;94.7;700;65.5;0.2;3.0;0.5;96.5;2.0;43.7;13.3;0.6;0.1;0.3
Congo. Repub. of the ;3702314;342000;10.8;0.1;-0.2;93.9;700;83.8;3.7;0.5;0.1;99.4;2.0;42.6;12.9;0.1;0.6;0.4
Cook Islands ;21388;240;89.1;50.0;0.0;0.0;5000;95.0;289.9;17.4;13.0;69.6;2.0;21.0;0.0;0.2;0.1;0.8
Costa Rica ;4075261;51100;79.8;2.5;0.5;9.9;9100;96.0;340.7;4.4;5.9;89.7;2.0;18.3;4.4;0.1;0.3;0.6
Cote d'Ivoire ;17654843;322460;54.8;0.2;-0.1;90.8;1400;50.9;14.6;9.8;13.8;76.4;2.0;35.1;14.8;0.3;0.2;0.6
Croatia ;4494749;56542;79.5;10.3;1.6;6.8;10600;98.5;420.4;26.1;2.3;71.7;0.0;9.6;11.5;0.1;0.3;0.6
Cuba ;11382820;110860;102.7;3.4;-1.6;6.3;2900;97.0;74.7;33.0;7.6;59.3;2.0;11.9;7.2;0.1;0.3;0.7
Cyprus ;784301;9250;84.8;7.0;0.4;7.2;19200;97.6;0.0;7.8;4.4;87.8;3.0;12.6;7.7;0.0;0.2;0.8
Czech Republic ;10235455;78866;129.8;0.0;1.0;3.9;15700;99.9;314.3;39.8;3.0;57.2;3.0;9.0;10.6;0.0;0.4;0.6
Denmark ;5450661;43094;126.5;17.0;2.5;4.6;31100;100.0;614.6;54.0;0.2;45.8;3.0;11.1;10.4;0.0;0.2;0.7
Djibouti ;486530;23000;21.2;1.4;0.0;104.1;1300;67.9;22.8;0.0;0.0;100.0;1.0;39.5;19.3;0.2;0.2;0.6
Dominica ;68910;754;91.4;19.6;-13.9;14.1;5400;94.0;304.8;6.7;20.0;73.3;2.0;15.3;6.7;0.2;0.3;0.5
Dominican Republic ;9183984;48730;188.5;2.6;-3.2;32.4;6000;84.7;97.4;22.6;10.3;67.0;2.0;23.2;5.7;0.1;0.3;0.6
East Timor ;1062777;15007;70.8;4.7;0.0;47.4;500;58.6;0.0;4.7;0.7;94.6;2.0;27.0;6.2;0.1;0.2;0.7
Ecuador ;13547510;283560;47.8;0.8;-8.6;23.7;3300;92.5;125.6;5.8;4.9;89.2;2.0;22.3;4.2;0.1;0.3;0.6
Egypt ;78887007;1001450;78.8;0.2;-0.2;32.6;4000;57.7;131.8;2.9;0.5;96.7;1.0;22.9;5.2;0.1;0.4;0.5
El Salvador ;6822378;21040;324.3;1.5;-3.7;25.1;4800;80.2;142.4;31.9;12.1;56.1;2.0;26.6;5.8;0.1;0.3;0.6
Equatorial Guinea ;540109;28051;19.3;1.1;0.0;85.1;2700;85.7;18.5;4.6;3.6;91.8;2.0;35.6;15.1;0.0;0.9;0.1
Eritrea ;4786994;121320;39.5;1.8;0.0;74.9;700;58.6;7.9;4.9;0.0;95.0;1.5;34.3;9.6;0.1;0.3;0.6
Estonia ;1324333;45226;29.3;8.4;-3.2;7.9;12300;99.8;333.8;16.0;0.4;83.5;3.0;10.0;13.3;0.0;0.3;0.7
Ethiopia ;74777981;1127127;66.3;0.0;0.0;95.3;700;42.7;8.2;10.7;0.8;88.5;2.0;38.0;14.9;0.5;0.1;0.4
Faroe Islands ;47246;1399;33.8;79.8;1.4;6.2;22000;0.0;503.8;2.1;0.0;97.9;0.0;14.1;8.7;0.3;0.1;0.6
Fiji ;905949;18270;49.6;6.2;-3.1;12.6;5800;93.7;112.6;10.9;4.7;84.4;2.0;22.5;5.7;0.1;0.1;0.8
Finland ;5231372;338145;15.5;0.4;0.9;3.6;27400;100.0;405.3;7.2;0.0;92.8;3.0;10.4;9.9;0.0;0.3;0.7
France ;60876136;547030;111.3;0.6;0.7;4.3;27600;99.0;586.4;33.5;2.1;64.4;4.0;12.0;9.1;0.0;0.2;0.8
French Guiana ;199509;91000;2.2;0.4;6.3;12.1;8300;83.0;255.6;0.1;0.1;99.8;2.0;20.5;4.9;0.1;0.2;0.8
French Polynesia ;274578;4167;65.9;60.6;2.9;8.4;17500;98.0;194.5;0.8;5.5;93.7;2.0;16.7;4.7;0.0;0.2;0.8
Gabon ;1424906;267667;5.3;0.3;0.0;53.6;5500;63.2;27.4;1.3;0.7;98.1;2.0;36.2;12.3;0.1;0.6;0.3
Gambia. The ;1641564;11300;145.3;0.7;1.6;72.0;1700;40.1;26.8;25.0;0.5;74.5;2.0;39.4;12.3;0.3;0.1;0.5
Gaza Strip ;1428757;360;3968.8;11.1;1.6;22.9;600;0.0;244.3;29.0;21.0;50.0;3.0;39.5;3.8;0.0;0.3;0.7
Georgia ;4661473;69700;66.9;0.4;-4.7;18.6;2500;99.0;146.6;11.4;3.9;84.7;3.0;10.4;9.2;0.2;0.3;0.6
Germany ;82422299;357021;230.9;0.7;2.2;4.2;27600;99.0;667.9;33.8;0.6;65.6;3.0;8.3;10.6;0.0;0.3;0.7
Ghana ;22409572;239460;93.6;0.2;-0.6;51.4;2200;74.8;14.4;16.3;9.7;74.1;2.0;30.5;9.7;0.4;0.2;0.4
Gibraltar ;27928;7;3989.7;171.4;0.0;5.1;17500;0.0;877.7;0.0;0.0;100.0;0.0;10.7;9.3;0.0;0.0;0.0
Greece ;10688058;131940;81.0;10.4;2.3;5.5;20000;97.5;589.7;21.1;8.8;70.1;3.0;9.7;10.2;0.1;0.2;0.7
Greenland ;56361;2166086;0.0;2.0;-8.4;15.8;20000;0.0;448.9;0.0;0.0;100.0;1.0;15.9;7.8;0.0;0.0;0.0
Grenada ;89703;344;260.8;35.2;-13.9;14.6;5000;98.0;364.5;5.9;29.4;64.7;2.0;22.1;6.9;0.1;0.2;0.8
Guadeloupe ;452776;1780;254.4;17.2;-0.2;8.6;8000;90.0;463.8;11.2;3.5;85.2;2.0;15.1;6.1;0.2;0.2;0.7
Guam ;171019;541;316.1;23.2;0.0;6.9;21000;99.0;492.0;9.1;16.4;74.6;2.0;18.8;4.5;0.0;0.0;0.0
Guatemala ;12293545;108890;112.9;0.4;-1.7;35.9;4100;70.6;92.1;12.5;5.0;82.4;2.0;29.9;5.2;0.2;0.2;0.6
Guernsey ;65409;78;838.6;64.1;3.8;4.7;20000;0.0;842.4;0.0;0.0;0.0;3.0;8.8;10.0;0.0;0.1;0.9
Guinea ;9690222;245857;39.4;0.1;-3.1;90.4;2100;35.9;2.7;3.6;2.6;93.8;2.0;41.8;15.5;0.2;0.4;0.4
Guinea-Bissau ;1442029;36120;39.9;1.0;-1.6;107.2;800;42.4;7.4;10.7;8.8;80.5;2.0;37.2;16.5;0.6;0.1;0.3
Guyana ;767245;214970;3.6;0.2;-2.1;33.3;4000;98.8;143.5;2.4;0.2;97.4;2.0;18.3;8.3;0.4;0.2;0.4
Haiti ;8308504;27750;299.4;6.4;-3.4;73.4;1600;52.9;16.9;28.3;11.6;60.1;2.0;36.4;12.2;0.3;0.2;0.5
Honduras ;7326496;112090;65.4;0.7;-2.0;29.3;2600;76.2;67.5;9.6;3.2;87.2;2.0;28.2;5.3;0.1;0.3;0.5
Hong Kong ;6940432;1092;6355.7;67.1;5.2;3.0;28800;93.5;546.7;5.1;1.0;93.9;2.0;7.3;6.3;0.0;0.1;0.9
Hungary ;9981334;93030;107.3;0.0;0.9;8.6;13900;99.4;336.2;50.1;2.1;47.8;3.0;9.7;13.1;0.0;0.3;0.7
Iceland ;299388;103000;2.9;4.8;2.4;3.3;30900;99.9;647.7;0.1;0.0;99.9;3.0;13.6;6.7;0.1;0.2;0.8
India ;1095351995;3287590;333.2;0.2;-0.1;56.3;2900;59.5;45.4;54.4;2.7;42.9;2.5;22.0;8.2;0.2;0.3;0.5
Indonesia ;245452739;1919440;127.9;2.8;0.0;35.6;3200;87.9;52.0;11.3;7.2;81.4;2.0;20.3;6.3;0.1;0.5;0.4
Iran ;68688433;1648000;41.7;0.2;-0.8;41.6;7000;79.4;276.4;8.7;1.4;89.9;1.0;17.0;5.6;0.1;0.4;0.5
Iraq ;26783383;437072;61.3;0.0;0.0;50.3;1500;40.4;38.6;13.1;0.8;86.1;1.0;32.0;5.4;0.1;0.7;0.3
Ireland ;4062235;70280;57.8;2.1;5.0;5.4;29600;98.0;500.5;15.2;0.0;84.8;3.0;14.4;7.8;0.1;0.5;0.5
Isle of Man ;75441;572;131.9;28.0;5.4;5.9;21000;0.0;676.0;9.0;0.0;91.0;3.0;11.1;11.2;0.0;0.1;0.9
;0;0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;0;0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
